Zone géographique,Période,Fève,Petit pois,Lentille,Pois chiche,Total
National,2014,191000,42600,46900,76400,404400
National,2015,193300,50400,46000,75200,418000
National,2016,88400,27900,34000,88900,283100
National,2017,131300,36900,42700,43300,305500
National,2018,137000,41300,39800,86800,330300
National,2019,125900,41000,40200,82000,310300
National,2020,107300,42200,40600,53600,271900
National,2021,…,…,…,…,…
