Zone géographique,Espèces Céréales,2021
Tanger-Tétouan-Al Hoceima,Blé Tendre,120700
Tanger-Tétouan-Al Hoceima,Blé Dur,106900
Tanger-Tétouan-Al Hoceima,Orge,99000
Tanger-Tétouan-Al Hoceima,Maïs,1659.5
Tanger-Tétouan-Al Hoceima,Autres céréales,5435
Tanger-Tétouan-Al Hoceima,Total,333694.5
