Zone géographique,Période,Blé Tendre,Blé Dur,Orge,Maïs,Total
National,2014,2081400,904800,1585200,138100,4764000
National,2015,2275300,998500,2000200,126600,5457400
National,2016,1575800,837800,1207600,138800,3795400
National,2017,2296420,1087805,2001473,130742,5559740
National,2018,1891460,996638,1598680,148178,4659031
National,2019,1687300,818700,1050200,63300,3645200
National,2020,1852000,993300,1495200,71100,4431100
National,2021,…,…,…,…,…
