Zone géographique,Période,Fève,Petit pois,Lentille,Pois chiche,Autres légumineuses,Total
Casablanca-Settat,2016,16398,7056,17390,5950,1751,48545
Casablanca-Settat,2018,11700,10900,16900,11000,5000,55500
