Zone géographique,Période,Fève,Petit pois,Lentille,Pois chiche,Total
Marrakech-Safi,2015,5.128,4.94,1.6,0.45,12.118
Marrakech-Safi,2016,2.2,1.6,1.6,1.3,6.7
Marrakech-Safi,2017,8.3,5.8,2.2,2.0,18.3
Marrakech-Safi,2018,7.9,5.9,2.5,5.5,21.8
Marrakech-Safi,2019,7.2,4.7,2.9,-,14.8
