Zone géographique,Période,Blé Tendre,Blé Dur,Orge,Maïs,Total
Fès-Meknès,2015,399.1,236.8,198.9,0.867,839.5
Fès-Meknès,2016,343.7,170.6,138.6,1.5,657.6
Fès-Meknès,2017,363.98,234.26,217.29,0.92,820.662
Fès-Meknès,2018,334.51,208.83,219.75,-,763.09
Fès-Meknès,2019,381.512,138.844,233.47525,0.55,754.93225
Fès-Meknès,2020,334.54,181.06,184.9,0.32,700.82
