Zone géographique,Période,Blé Tendre,Blé Dur,Orge,Maïs,Autres céréales,Total
Casablanca-Settat,2016,383400,230200,284200,56706,16200,970706
Casablanca-Settat,2018,315700,178300,189300,37200,9600,730100
