Zone-geographique,2015,2017,2018,2019,2020
National,28032100,28969063,29053138,30713828,31263721.09
Tanger-Tetouan-Hoceima,2174000,1565064,1572696,1412252,1928570
Oriental,3189000,4211310,4215546,4100992,4876925
Fes-Meknes,3927800,3378095,3389439,3794933,3868492.26
Casablanca-Settat,2436210,2878300,,,
Marrakech-Safi,5 223,10450,5 039,5 257,
Beni Mellal-Khenifra,,1513900,,,
Rabat-Sale-Kenitra,2304300,2100230,,2476456,
Daraa-Tafilelt,,2230400,,1145698,
